country,year,visa_free_count
Afghanistan,2006,12.0
Albania,2006,17.0
Algeria,2006,23.0
Andorra,2006,99.0
Angola,2006,19.0
Antigua and Barbuda,2006,63.0
Argentina,2006,101.0
Armenia,2006,23.0
Australia,2006,120.0
Austria,2006,125.0
Azerbaijan,2006,28.0
Bahamas,2006,71.0
Bahrain,2006,38.0
Bangladesh,2006,28.0
Barbados,2006,71.0
Belarus,2006,32.0
Belgium,2006,127.0
Belize,2006,58.0
Benin,2006,36.0
Bhutan,2006,19.0
Bolivia,2006,83.0
Bosnia and Herzegovina,2006,25.0
Botswana,2006,48.0
Brazil,2006,99.0
Brunei,2006,101.0
Bulgaria,2006,83.0
Burkina Faso,2006,35.0
Burundi,2006,18.0
Cambodia,2006,17.0
Cameroon,2006,26.0
Canada,2006,125.0
Cape Verde Islands,2006,0.0
Central African Republic,2006,28.0
Chad,2006,0.0
Chile,2006,109.0
China,2006,18.0
Colombia,2006,32.0
Comoro Islands,2006,0.0
Congo (Dem. Rep.),2006,0.0
Congo (Rep.),2006,27.0
Costa Rica,2006,95.0
Cote d'Ivoire,2006,0.0
Croatia,2006,84.0
Cuba,2006,27.0
Cyprus,2006,113.0
Czechia,2006,98.0
Denmark,2006,130.0
Djibouti,2006,19.0
Dominica,2006,52.0
Dominican Republic,2006,25.0
Ecuador,2006,41.0
Egypt,2006,0.0
El Salvador,2006,81.0
Equatorial Guinea,2006,20.0
Eritrea,2006,20.0
Estonia,2006,91.0
Ethiopia,2006,18.0
Fiji,2006,47.0
Finland,2006,130.0
France,2006,128.0
Gabon,2006,24.0
Georgia,2006,28.0
Germany,2006,129.0
Ghana,2006,45.0
Greece,2006,120.0
Grenada,2006,60.0
Guatemala,2006,82.0
Guinea,2006,37.0
Guinea-Bissau,2006,33.0
Guyana,2006,53.0
Haiti,2006,22.0
Honduras,2006,80.0
Hong Kong (SAR China),2006,110.0
Hungary,2006,101.0
Iceland,2006,120.0
India,2006,25.0
Indonesia,2006,29.0
Iran,2006,14.0
Iraq,2006,15.0
Ireland,2006,129.0
Israel,2006,104.0
Italy,2006,128.0
Jamaica,2006,57.0
Japan,2006,128.0
Jordan,2006,21.0
Kazakhstan,2006,28.0
Kenya,2006,46.0
Kiribati,2006,49.0
Kosovo,2006,0.0
Kuwait,2006,39.0
Kyrgyzstan,2006,28.0
Laos,2006,20.0
Latvia,2006,91.0
Lebanon,2006,17.0
Lesotho,2006,51.0
Liberia,2006,31.0
Libya,2006,19.0
Liechtenstein,2006,116.0
Lithuania,2006,94.0
Luxembourg,2006,125.0
Macao (SAR China),2006,71.0
Madagascar,2006,25.0
Malawi,2006,48.0
Malaysia,2006,120.0
Maldives,2006,46.0
Mali,2006,38.0
Malta,2006,115.0
Marshall Islands,2006,36.0
Mauritania,2006,39.0
Mauritius,2006,52.0
Mexico,2006,98.0
Micronesia,2006,0.0
Moldova,2006,0.0
Monaco,2006,108.0
Mongolia,2006,24.0
Montenegro,2006,0.0
Morocco,2006,30.0
Mozambique,2006,22.0
Myanmar,2006,15.0
Namibia,2006,41.0
Nauru,2006,44.0
Nepal,2006,20.0
Netherlands,2006,126.0
New Zealand,2006,125.0
Nicaragua,2006,75.0
Niger,2006,37.0
Nigeria,2006,35.0
North Korea,2006,18.0
North Macedonia,2006,0.0
Norway,2006,127.0
Oman,2006,36.0
Pakistan,2006,17.0
Palau Islands,2006,0.0
Palestinian Territory,2006,0.0
Panama,2006,82.0
Papua New Guinea,2006,41.0
Paraguay,2006,82.0
Peru,2006,41.0
Philippines,2006,33.0
Poland,2006,106.0
Portugal,2006,123.0
Qatar,2006,37.0
Romania,2006,73.0
Russian Federation,2006,35.0
Rwanda,2006,23.0
Samoa,2006,49.0
San Marino,2006,109.0
Sao Tome and Principe,2006,22.0
Saudi Arabia,2006,31.0
Senegal,2006,37.0
Serbia,2006,32.0
Seychelles,2006,52.0
Sierra Leone,2006,47.0
Singapore,2006,122.0
Slovakia,2006,97.0
Slovenia,2006,105.0
Solomon Islands,2006,54.0
Somalia,2006,15.0
South Africa,2006,65.0
South Korea,2006,115.0
South Sudan,2006,0.0
Spain,2006,127.0
Sri Lanka,2006,22.0
St. Kitts and Nevis,2006,62.0
St. Lucia,2006,63.0
St. Vincent and the Grenadines,2006,64.0
Sudan,2006,17.0
Suriname,2006,40.0
Sweden,2006,129.0
Switzerland,2006,127.0
Syria,2006,16.0
Taiwan (Chinese Taipei),2006,42.0
Tajikistan,2006,27.0
Tanzania,2006,41.0
Thailand,2006,29.0
The Gambia,2006,53.0
Timor-Leste,2006,0.0
Togo,2006,35.0
Tonga,2006,46.0
Trinidad and Tobago,2006,66.0
Tunisia,2006,38.0
Turkmenistan,2006,19.0
Tuvalu,2006,50.0
TÃ¼rkiye,2006,52.0
Uganda,2006,39.0
Ukraine,2006,32.0
United Arab Emirates,2006,35.0
United Kingdom,2006,128.0
United States,2006,130.0
Uruguay,2006,99.0
Uzbekistan,2006,24.0
Vanuatu,2006,47.0
Vatican City,2006,0.0
Venezuela,2006,92.0
Vietnam,2006,18.0
Yemen,2006,18.0
Zambia,2006,45.0
Zimbabwe,2006,41.0
eSwatini,2006,46.0
